#SUBENT      L0057009
#AUTHORS     B.L.Berman, R.E.Pywell, S.S.Dietrich, M.N.Thompson, 
#+           K.G.Mcneil, J.W.Jury
#REFERENCE   Physical Review, Part C, Nuclear Physics Vol.36, p.1286
#YEAR        1987
#TITLE       Absolute photoneutron cross sections for Zr, I, Pr,
#+           Au, and Pb.
#REACTION    (79-AU-197(G,N)79-AU-196,,SIG)+(79-AU-197(G,N+P)78-PT-195,,SIG)
#QUANTITY    Cross section
#SUBP       L0057009 
# Energy (eV) Cross section (b)
1.2069e+07 0.31824
1.2548e+07 0.39898
1.3026e+07 0.46569
1.3504e+07 0.49415
1.3982e+07 0.47865
1.446e+07 0.4662
1.4938e+07 0.40526
1.5416e+07 0.32757
1.5895e+07 0.25109
1.6373e+07 0.14283
1.6851e+07 0.09153
1.7e+07 0.0742137
1.7732e+07 0.0332264
1.8464e+07 0.0148759
1.9196e+07 0.0066601
1.9928e+07 0.00298181
2.066e+07 0.00133499
2.1392e+07 0.000597693
2.2124e+07 0.000267594
2.2856e+07 0.000119805
2.3588e+07 5.36383e-05
2.432e+07 2.40145e-05
2.5052e+07 1.07516e-05
2.5784e+07 4.81362e-06
2.6516e+07 2.15512e-06
2.7248e+07 9.64873e-07
2.798e+07 4.31986e-07
2.8712e+07 1.93405e-07
2.9444e+07 8.65899e-08
3.0176e+07 3.87674e-08
3.0908e+07 1.73566e-08
3.164e+07 7.77078e-09
3.2372e+07 3.47907e-09
3.3104e+07 1.55762e-09
3.3836e+07 6.97367e-10
3.4568e+07 3.1222e-10
3.53e+07 1.39785e-10
3.6032e+07 6.25833e-11
3.6764e+07 2.80193e-11
3.7496e+07 1.25446e-11
3.8228e+07 5.61637e-12
3.896e+07 2.51452e-12
3.9692e+07 1.12578e-12
4.0424e+07 5.04026e-13
4.1156e+07 2.25659e-13
4.1888e+07 1.0103e-13
4.262e+07 4.52324e-14
4.3352e+07 2.02511e-14
4.4084e+07 9.06667e-15
4.4816e+07 4.05926e-15
4.5548e+07 1.81738e-15
4.628e+07 8.13664e-16
4.7012e+07 3.64287e-16
4.7744e+07 1.63096e-16
4.8476e+07 7.30201e-17
4.9208e+07 3.2692e-17
4.994e+07 1.46366e-17
5.0672e+07 6.55299e-18
5.1404e+07 2.93385e-18
5.2136e+07 1.31352e-18
5.2868e+07 5.8808e-19
5.36e+07 2.63291e-19
5.4332e+07 1.17878e-19
5.5064e+07 5.27756e-20
5.5796e+07 2.36283e-20
5.6528e+07 1.05787e-20
5.726e+07 4.73621e-21
5.7992e+07 2.12046e-21
5.8724e+07 9.49355e-22
5.9456e+07 4.25038e-22
6.0188e+07 1.90295e-22
6.092e+07 8.51973e-23
6.1652e+07 3.81439e-23
6.2384e+07 1.70775e-23
6.3116e+07 7.6458e-24
6.3848e+07 3.42312e-24
6.458e+07 1.53257e-24
6.5312e+07 6.86151e-25
6.6044e+07 3.07198e-25
6.6776e+07 1.37536e-25
6.7508e+07 6.15768e-26
6.824e+07 2.75687e-26
6.8972e+07 1.23428e-26
6.9704e+07 5.52604e-27
7.0436e+07 2.47408e-27
7.1168e+07 1.10767e-27
7.19e+07 4.95919e-28
7.2632e+07 2.22029e-28
7.3364e+07 9.94052e-29
7.4096e+07 4.45049e-29
7.4828e+07 1.99254e-29
7.556e+07 8.92085e-30
7.6292e+07 3.99398e-30
7.7024e+07 1.78815e-30
7.7756e+07 8.00578e-31
7.8488e+07 3.58428e-31
7.922e+07 1.60473e-31
7.9952e+07 7.18457e-32
8.0684e+07 3.21662e-32
8.1416e+07 1.44012e-32
8.2148e+07 6.44759e-33
8.288e+07 2.88667e-33
8.3612e+07 1.2924e-33
8.4344e+07 5.78622e-34
8.5076e+07 2.59056e-34
8.5808e+07 1.15983e-34
8.654e+07 5.19268e-35
8.7272e+07 2.32483e-35
8.8004e+07 1.04085e-35
8.8736e+07 4.66003e-36
8.9468e+07 2.08635e-36
9.02e+07 9.34086e-37
9.0932e+07 4.18202e-37
9.1664e+07 1.87234e-37
9.2396e+07 8.3827e-38
9.3128e+07 3.75304e-38
9.386e+07 1.68028e-38
9.4592e+07 7.52283e-39
9.5324e+07 3.36806e-39
9.6056e+07 1.50792e-39
9.6788e+07 6.75116e-40
9.752e+07 3.02258e-40
9.8252e+07 1.35324e-40
9.8984e+07 6.05864e-41
9.9716e+07 2.71253e-41
1.00448e+08 1.21443e-41
1.0118e+08 5.43716e-42
1.01912e+08 2.43429e-42
1.02644e+08 1.08986e-42
1.03376e+08 4.87943e-43
1.04108e+08 2.18458e-43
1.0484e+08 9.78065e-44
1.05572e+08 4.37892e-44
1.06304e+08 1.96049e-44
1.07036e+08 8.77738e-45
1.07768e+08 3.92974e-45
1.085e+08 1.75939e-45
1.09232e+08 7.87702e-46
1.09964e+08 3.52664e-46
1.10696e+08 1.57892e-46
1.11428e+08 7.06901e-47
1.1216e+08 3.16488e-47
1.12892e+08 1.41696e-47
1.13624e+08 6.34389e-48
1.14356e+08 2.84024e-48
1.15088e+08 1.27161e-48
1.1582e+08 5.69316e-49
1.16552e+08 2.5489e-49
1.17284e+08 1.14117e-49
1.18016e+08 5.10917e-50
1.18748e+08 2.28744e-50
1.1948e+08 1.02411e-50
1.20212e+08 4.58508e-51
1.20944e+08 2.0528e-51
1.21676e+08 9.19063e-52
1.22408e+08 4.11476e-52
1.2314e+08 1.84223e-52
1.23872e+08 8.24788e-53
1.24604e+08 3.69268e-53
1.25336e+08 1.65326e-53
1.26068e+08 7.40184e-54
1.268e+08 3.31389e-54
1.27532e+08 1.48367e-54
1.28264e+08 6.64258e-55
1.28996e+08 2.97396e-55
1.29728e+08 1.33148e-55
1.3046e+08 5.9612e-56
1.31192e+08 2.6689e-56
1.31924e+08 1.1949e-56
1.32656e+08 5.34972e-57
1.33388e+08 2.39513e-57
1.3412e+08 1.07233e-57
1.34852e+08 4.80096e-58
1.35584e+08 2.14945e-58
1.36316e+08 9.62334e-59
1.37048e+08 4.30849e-59
1.3778e+08 1.92896e-59
1.38512e+08 8.63621e-60
1.39244e+08 3.86654e-60
1.39976e+08 1.7311e-60
1.40708e+08 7.75033e-61
1.4144e+08 3.46992e-61
1.42172e+08 1.55352e-61
1.42904e+08 6.95532e-62
1.43636e+08 3.11398e-62
1.44368e+08 1.39417e-62
1.451e+08 6.24186e-63
1.45832e+08 2.79456e-63
1.46564e+08 1.25116e-63
1.47296e+08 5.60159e-64
1.48028e+08 2.5079e-64
1.4876e+08 1.12282e-64
1.49492e+08 5.027e-65
1.50224e+08 2.25065e-65
1.50956e+08 1.00764e-65
1.51688e+08 4.51134e-66
1.5242e+08 2.01978e-66
1.53152e+08 9.04281e-67
1.53884e+08 4.04858e-67
1.54616e+08 1.8126e-67
1.55348e+08 8.11523e-68
1.5608e+08 3.63329e-68
1.56812e+08 1.62667e-68
1.57544e+08 7.28279e-69
1.58276e+08 3.2606e-69
1.59008e+08 1.45981e-69
1.5974e+08 6.53574e-70
1.60472e+08 2.92613e-70
1.61204e+08 1.31007e-70
1.61936e+08 5.86532e-71
1.62668e+08 2.62598e-71
1.634e+08 1.17568e-71
1.64132e+08 5.26368e-72
1.64864e+08 2.35661e-72
1.65596e+08 1.05508e-72
1.66328e+08 4.72374e-73
1.6706e+08 2.11488e-73
1.67792e+08 9.46857e-74
1.68524e+08 4.23919e-74
1.69256e+08 1.89794e-74
1.69988e+08 8.49731e-75
1.7072e+08 3.80435e-75
1.71452e+08 1.70325e-75
1.72184e+08 7.62568e-76
1.72916e+08 3.41411e-76
1.73648e+08 1.52854e-76
1.7438e+08 6.84346e-77
1.75112e+08 3.0639e-77
1.75844e+08 1.37175e-77
1.76576e+08 6.14147e-78
1.77308e+08 2.74961e-78
1.7804e+08 1.23104e-78
1.78772e+08 5.5115e-79
1.79504e+08 2.46757e-79
1.80236e+08 1.10476e-79
1.80968e+08 4.94614e-80
1.817e+08 2.21445e-80
1.82432e+08 9.91436e-81
1.83164e+08 4.43878e-81
1.83896e+08 1.9873e-81
1.84628e+08 8.89738e-82
1.8536e+08 3.98347e-82
1.86092e+08 1.78345e-82
1.86824e+08 7.98471e-83
1.87556e+08 3.57485e-83
1.88288e+08 1.60051e-83
1.8902e+08 7.16566e-84
1.89752e+08 3.20815e-84
1.90484e+08 1.43633e-84
1.91216e+08 6.43063e-85
1.91948e+08 2.87907e-85
1.9268e+08 1.289e-85
1.93412e+08 5.77099e-86
1.94144e+08 2.58374e-86
1.94876e+08 1.15677e-86
1.95608e+08 5.17902e-87
1.9634e+08 2.31871e-87
1.97072e+08 1.03812e-87
1.97804e+08 4.64777e-88
1.98536e+08 2.08086e-88
1.99268e+08 9.31628e-89
2e+08 4.17101e-89
