#SUBENT      L0002003
#AUTHORS     S.C.Fultz, R.L.Bramblett, J.T.Caldwell, N.A.Kerr
#REFERENCE   Physical Review Vol.127, p.1273
#YEAR        1962
#TITLE       PHOTONEUTRON CROSS-SECTION MEASUREMENTS ON
#+           GOLD USING NEARLY MONOCHROMATIC PHOTONS
#REACTION    (79-AU-197(G,N)79-AU-196,,SIG)+(79-AU-197(G,N+P)78-PT-195,,SIG)
#QUANTITY    Cross section
#SUBP       L0002003 
# Energy (eV) Cross section (b)
8.724e+06 0.023
9.339e+06 0.047
9.646e+06 0.055
9.954e+06 0.062
1.0261e+07 0.085
1.0568e+07 0.097
1.0876e+07 0.112
1.1183e+07 0.148
1.149e+07 0.195
1.1797e+07 0.226
1.2105e+07 0.305
1.2412e+07 0.362
1.2719e+07 0.444
1.3027e+07 0.498
1.3334e+07 0.516
1.3641e+07 0.549
1.3949e+07 0.519
1.4256e+07 0.502
1.4563e+07 0.433
1.487e+07 0.402
1.5178e+07 0.38
1.5485e+07 0.302
1.5792e+07 0.242
1.61e+07 0.176
1.6407e+07 0.116
1.6714e+07 0.065
1.7022e+07 0.062
1.7329e+07 0.026
1.7636e+07 0.014
1.7943e+07 0.005
1.9e+07 0.00369238
1.9724e+07 0.00142802
2.0448e+07 0.000552283
2.1172e+07 0.000213594
2.1896e+07 8.2607e-05
2.262e+07 3.19481e-05
2.3344e+07 1.23558e-05
2.4068e+07 4.77859e-06
2.4792e+07 1.84811e-06
2.5516e+07 7.14753e-07
2.624e+07 2.76429e-07
2.6964e+07 1.06908e-07
2.7688e+07 4.13465e-08
2.8412e+07 1.59907e-08
2.9136e+07 6.18436e-09
2.986e+07 2.39179e-09
3.0584e+07 9.25018e-10
3.1308e+07 3.57748e-10
3.2032e+07 1.38358e-10
3.2756e+07 5.35098e-11
3.348e+07 2.06948e-11
3.4204e+07 8.00366e-12
3.4928e+07 3.0954e-12
3.5652e+07 1.19714e-12
3.6376e+07 4.62991e-13
3.71e+07 1.79061e-13
3.7824e+07 6.92513e-14
3.8548e+07 2.67828e-14
3.9272e+07 1.03582e-14
3.9996e+07 4.006e-15
4.072e+07 1.54931e-15
4.1444e+07 5.99193e-16
4.2168e+07 2.31736e-16
4.2892e+07 8.96235e-17
4.3616e+07 3.46617e-17
4.434e+07 1.34053e-17
4.5064e+07 5.18448e-18
4.5788e+07 2.00509e-18
4.6512e+07 7.75463e-19
4.7236e+07 2.99908e-19
4.796e+07 1.15989e-19
4.8684e+07 4.48584e-20
4.9408e+07 1.73489e-20
5.0132e+07 6.70965e-21
5.0856e+07 2.59494e-21
5.158e+07 1.00359e-21
5.2304e+07 3.88135e-22
5.3028e+07 1.5011e-22
5.3752e+07 5.80548e-23
5.4476e+07 2.24526e-23
5.52e+07 8.68348e-24
5.5924e+07 3.35832e-24
5.6648e+07 1.29882e-24
5.7372e+07 5.02316e-25
5.8096e+07 1.9427e-25
5.882e+07 7.51334e-26
5.9544e+07 2.90577e-26
6.0268e+07 1.1238e-26
6.0992e+07 4.34626e-27
6.1716e+07 1.68091e-27
6.244e+07 6.50087e-28
6.3164e+07 2.5142e-28
6.3888e+07 9.7236e-29
6.4612e+07 3.76058e-29
6.5336e+07 1.4544e-29
6.606e+07 5.62484e-30
