#SUBENT      L0032017
#AUTHORS     H.Beil, R.Bergere, P.Carlos, A.Lepretre, 
#+           A.DeMiniac, A.Veyssiere
#REFERENCE   Nuclear Physics, Section A Vol.227, p.427
#YEAR        1974
#TITLE       A study of the photoneutron contribution to the giant
#+           dipole resonance in doubly even Mo isotopes
#REACTION    (42-MO-100(G,N)42-MO-99,,SIG)+(42-MO-100(G,N+P)41-NB-98,,SIG)
#QUANTITY    Cross section
#SUBP       L0032017 
# Energy (eV) Cross section (b)
8.33e+06 0.0112
8.6e+06 0.0113
8.87e+06 0.0134
9.14e+06 0.0219
9.41e+06 0.0239
9.68e+06 0.0239
9.95e+06 0.0236
1.022e+07 0.0255
1.05e+07 0.0361
1.077e+07 0.0264
1.104e+07 0.0365
1.131e+07 0.0444
1.158e+07 0.0511
1.185e+07 0.0602
1.212e+07 0.0747
1.239e+07 0.0839
1.266e+07 0.0918
1.293e+07 0.1026
1.321e+07 0.1133
1.348e+07 0.1253
1.375e+07 0.127
1.402e+07 0.1415
1.429e+07 0.1634
1.456e+07 0.1523
1.483e+07 0.1473
1.51e+07 0.1303
1.537e+07 0.1215
1.564e+07 0.103
1.592e+07 0.0974
1.619e+07 0.0812
1.646e+07 0.067
1.673e+07 0.0537
1.7e+07 0.0614
1.727e+07 0.0536
1.754e+07 0.0548
1.781e+07 0.0405
1.808e+07 0.0196
1.835e+07 0.031
1.863e+07 0.0274
1.89e+07 0.0165
1.917e+07 0.0091
1.944e+07 0.0184
1.971e+07 0.0164
1.998e+07 0.0076
2.025e+07 0.0037
2.052e+07 0.0128
2.079e+07 0.0104
2.106e+07 0.0145
2.134e+07 0.0076
2.161e+07 0.0149
2.188e+07 0.0037
2.215e+07 -0.0044
2.242e+07 0.0085
2.269e+07 0.0153
2.296e+07 0.0099
2.323e+07 0.0093
2.35e+07 -0.0027
2.377e+07 0.0154
2.405e+07 0.0077
2.432e+07 0.0125
2.459e+07 0.0024
2.486e+07 0.0083
2.513e+07 0.0196
2.54e+07 0.0072
2.567e+07 0.0104
2.594e+07 0.0264
2.621e+07 0.0198
2.648e+07 0.0154
2.676e+07 -0.0025
2.703e+07 0.0143
