#SUBENT      L0021003
#AUTHORS     A.Veyssiere, H.Beil, R.Bergere, P.Carlos, 
#+           A.Lepretre
#REFERENCE   Nuclear Physics, Section A Vol.159, p.561
#YEAR        1970
#TITLE       Photoneutron cross sections of 208Pb and 197Au.
#REACTION    (79-AU-197(G,N)79-AU-196,,SIG)+(79-AU-197(G,N+P)78-PT-195,,SIG)
#QUANTITY    Cross section
#SUBP       L0021003 
#Ene,MeV     Sig,mb      dSig,mb
 8.08        5.3         10
 8.35        22.3        10.12
 8.62        29.4        10.24
 8.89        39.9        10.36
 9.16        49.6        10.47
 9.44        53.7        10.6
 9.71        73.6        10.71
 9.98        94.4        10.83
 10.25       94.1        10.95
 10.52       111.7       11.07
 10.8        148.7       11.19
 11.07       174.1       11.31
 11.34       204.5       11.43
 11.61       263.6       11.55
 11.88       312.6       11.66
 12.16       355.6       11.79
 12.43       413.5       11.9
 12.7        464.4       12.02
 12.97       506.4       12.14
 13.24       524.9       12.26
 13.52       529.2       12.38
 13.79       526.8       12.5
 14.06       509.4       12.62
 14.33       496.1       12.74
 14.6        457         12.86
 14.88       420.7       12.98
 15.42       325.2       13.21
 15.69       276.2       13.33
 15.96       231.7       13.45
 16.24       199.1       13.57
 16.51       166.2       13.69
 16.78       117.1       13.81
 17.05       103.1       13.93
 17.32       90.6        14.05
 17.6        79.5        14.17
 17.87       69.7        14.29
 18.14       61.3        14.4
 18.41       54.2        14.52
 18.68       48.3        14.64
 18.96       43.6        14.76
 19.23       39.9        14.88
 19.5        37          15
 19.77       35          15
#END
