#SUBENT      L0021003
#AUTHORS     A.Veyssiere, H.Beil, R.Bergere, P.Carlos, 
#+           A.Lepretre
#REFERENCE   Nuclear Physics, Section A Vol.159, p.561
#YEAR        1970
#TITLE       Photoneutron cross sections of 208Pb and 197Au.
#REACTION    (79-AU-197(G,N)79-AU-196,,SIG)+(79-AU-197(G,N+P)78-PT-195,,SIG)
#QUANTITY    Cross section
#SUBP       L0021003 
# Energy (eV) Cross section (b)
8.08e+06 0.0053
8.35e+06 0.0223
8.62e+06 0.0294
8.89e+06 0.0399
9.16e+06 0.0496
9.44e+06 0.0537
9.71e+06 0.0736
9.98e+06 0.0944
1.025e+07 0.0941
1.052e+07 0.1117
1.08e+07 0.1487
1.107e+07 0.1741
1.134e+07 0.2045
1.161e+07 0.2636
1.188e+07 0.3126
1.216e+07 0.3556
1.243e+07 0.4135
1.27e+07 0.4644
1.297e+07 0.5064
1.324e+07 0.5249
1.352e+07 0.5292
1.379e+07 0.5268
1.406e+07 0.5094
1.433e+07 0.4961
1.46e+07 0.457
1.488e+07 0.4207
1.542e+07 0.3252
1.569e+07 0.2762
1.596e+07 0.2317
1.624e+07 0.1991
1.651e+07 0.1662
1.678e+07 0.1171
1.705e+07 0.1031
1.732e+07 0.0906
1.76e+07 0.0795
1.787e+07 0.0697
1.814e+07 0.0613
1.841e+07 0.0542
1.868e+07 0.0483
1.896e+07 0.0436
1.923e+07 0.0399
1.95e+07 0.037
1.977e+07 0.035
