#SUBENT      L0032017
#AUTHORS     H.Beil, R.Bergere, P.Carlos, A.Lepretre, 
#+           A.DeMiniac, A.Veyssiere
#REFERENCE   Nuclear Physics, Section A Vol.227, p.427
#YEAR        1974
#TITLE       A study of the photoneutron contribution to the giant
#+           dipole resonance in doubly even Mo isotopes
#REACTION    (42-MO-100(G,N)42-MO-99,,SIG)+(42-MO-100(G,N+P)41-NB-98,,SIG)
#QUANTITY    Cross section
#SUBP       L0032017 
#Ene,MeV     Sig,mb      dSig,mb
 8.33        11.2        3.5
 8.6         11.3        3.5
 8.87        13.4        3.5
 9.14        21.9        3.5
 9.41        23.9        3.51
 9.68        23.9        3.51
 9.95        23.6        3.51
 10.22       25.5        3.51
 10.5        36.1        3.51
 10.77       26.4        3.51
 11.04       36.5        3.51
 11.31       44.4        3.52
 11.58       51.1        3.52
 11.85       60.2        3.52
 12.12       74.7        3.52
 12.39       83.9        3.52
 12.66       91.8        3.52
 12.93       102.6       3.53
 13.21       113.3       3.53
 13.48       125.3       3.53
 13.75       127         3.53
 14.02       141.5       3.53
 14.29       163.4       3.53
 14.56       152.3       3.53
 14.83       147.3       3.54
 15.1        130.3       3.54
 15.37       121.5       3.54
 15.64       103         3.54
 15.92       97.4        3.54
 16.19       81.2        3.54
 16.46       67          3.54
 16.73       53.7        3.55
 17          61.4        3.55
 17.27       53.6        3.55
 17.54       54.8        3.55
 17.81       40.5        3.55
 18.08       19.6        3.55
 18.35       31          3.55
 18.63       27.4        3.56
 18.9        16.5        3.56
 19.17       9.1         3.56
 19.44       18.4        3.56
 19.71       16.4        3.56
 19.98       7.6         3.56
 20.25       3.7         3.56
 20.52       12.8        3.57
 20.79       10.4        3.57
 21.06       14.5        3.57
 21.34       7.6         3.57
 21.61       14.9        3.57
 21.88       3.7         3.57
 22.15       -4.4        3.57
 22.42       8.5         3.58
 22.69       15.3        3.58
 22.96       9.9         3.58
 23.23       9.3         3.58
 23.5        -2.7        3.58
 23.77       15.4        3.58
 24.05       7.7         3.58
 24.32       12.5        3.59
 24.59       2.4         3.59
 24.86       8.3         3.59
 25.13       19.6        3.59
 25.4        7.2         3.59
 25.67       10.4        3.59
 25.94       26.4        3.59
 26.21       19.8        3.6
 26.48       15.4        3.6
 26.76       -2.5        3.6
 27.03       14.3        3.6
#END
