#SUBENT      L0032017
#AUTHORS     H.Beil, R.Bergere, P.Carlos, A.Lepretre, 
#+           A.DeMiniac, A.Veyssiere
#REFERENCE   Nuclear Physics, Section A Vol.227, p.427
#YEAR        1974
#TITLE       A study of the photoneutron contribution to the giant
#+           dipole resonance in doubly even Mo isotopes
#REACTION    (42-MO-100(G,N)42-MO-99,,SIG)+(42-MO-100(G,N+P)41-NB-98,,SIG)
#QUANTITY    Cross section
#SUBP       L0032017 
# Energy (eV) Cross section (b)
8.33e+06 0.0112
8.6e+06 0.0113
8.87e+06 0.0134
9.14e+06 0.0219
9.41e+06 0.0239
9.68e+06 0.0239
9.95e+06 0.0236
1.022e+07 0.0255
1.05e+07 0.0361
1.077e+07 0.0264
1.104e+07 0.0365
1.131e+07 0.0444
1.158e+07 0.0511
1.185e+07 0.0602
1.212e+07 0.0747
1.239e+07 0.0839
1.266e+07 0.0918
1.293e+07 0.1026
1.321e+07 0.1133
1.348e+07 0.1253
1.375e+07 0.127
1.402e+07 0.1415
1.429e+07 0.1634
1.456e+07 0.1523
1.483e+07 0.1473
1.51e+07 0.1303
1.537e+07 0.1215
1.564e+07 0.103
1.592e+07 0.0974
1.619e+07 0.0812
1.646e+07 0.067
1.8e+07 0.0530084
1.8728e+07 0.0429548
1.9456e+07 0.0348079
2.0184e+07 0.0282062
2.0912e+07 0.0228566
2.164e+07 0.0185216
2.2368e+07 0.0150088
2.3096e+07 0.0121622
2.3824e+07 0.0098555
2.4552e+07 0.0079863
2.528e+07 0.00647161
2.6008e+07 0.0052442
2.6736e+07 0.00424958
2.7464e+07 0.0034436
2.8192e+07 0.00279048
2.892e+07 0.00226124
2.9648e+07 0.00183237
3.0376e+07 0.00148484
3.1104e+07 0.00120322
3.1832e+07 0.000975019
3.256e+07 0.000790096
3.3288e+07 0.000640246
3.4016e+07 0.000518816
3.4744e+07 0.000420417
3.5472e+07 0.00034068
3.62e+07 0.000276067
3.6928e+07 0.000223707
3.7656e+07 0.000181279
3.8384e+07 0.000146897
3.9112e+07 0.000119037
3.984e+07 9.64601e-05
4.0568e+07 7.81653e-05
4.1296e+07 6.33404e-05
4.2024e+07 5.13272e-05
4.2752e+07 4.15925e-05
4.348e+07 3.3704e-05
4.4208e+07 2.73117e-05
4.4936e+07 2.21317e-05
4.5664e+07 1.79342e-05
4.6392e+07 1.45328e-05
4.712e+07 1.17765e-05
4.7848e+07 9.54293e-06
4.8576e+07 7.73301e-06
4.9304e+07 6.26636e-06
5.0032e+07 5.07788e-06
5.076e+07 4.1148e-06
5.1488e+07 3.33438e-06
5.2216e+07 2.70198e-06
5.2944e+07 2.18952e-06
5.3672e+07 1.77425e-06
5.44e+07 1.43775e-06
5.5128e+07 1.16506e-06
5.5856e+07 9.44096e-07
5.6584e+07 7.65038e-07
5.7312e+07 6.1994e-07
5.804e+07 5.02362e-07
5.8768e+07 4.07083e-07
5.9496e+07 3.29875e-07
6.0224e+07 2.67311e-07
6.0952e+07 2.16612e-07
6.168e+07 1.7553e-07
6.2408e+07 1.42238e-07
6.3136e+07 1.15261e-07
6.3864e+07 9.34008e-08
6.4592e+07 7.56863e-08
6.532e+07 6.13316e-08
6.6048e+07 4.96994e-08
6.6776e+07 4.02733e-08
6.7504e+07 3.26351e-08
6.8232e+07 2.64455e-08
6.896e+07 2.14298e-08
6.9688e+07 1.73654e-08
7.0416e+07 1.40719e-08
7.1144e+07 1.1403e-08
7.1872e+07 9.24027e-09
7.26e+07 7.48775e-09
7.3328e+07 6.06762e-09
7.4056e+07 4.91683e-09
7.4784e+07 3.9843e-09
7.5512e+07 3.22863e-09
7.624e+07 2.61629e-09
7.6968e+07 2.12008e-09
7.7696e+07 1.71798e-09
7.8424e+07 1.39215e-09
7.9152e+07 1.12811e-09
7.988e+07 9.14154e-10
8.0608e+07 7.40774e-10
8.1336e+07 6.00278e-10
8.2064e+07 4.86429e-10
8.2792e+07 3.94172e-10
8.352e+07 3.19413e-10
8.4248e+07 2.58833e-10
8.4976e+07 2.09743e-10
8.5704e+07 1.69963e-10
8.6432e+07 1.37727e-10
8.716e+07 1.11606e-10
8.7888e+07 9.04385e-11
8.8616e+07 7.32859e-11
8.9344e+07 5.93864e-11
9.0072e+07 4.81231e-11
9.08e+07 3.8996e-11
9.1528e+07 3.16e-11
9.2256e+07 2.56067e-11
9.2984e+07 2.07501e-11
9.3712e+07 1.68146e-11
9.444e+07 1.36256e-11
9.5168e+07 1.10413e-11
9.5896e+07 8.94721e-12
9.6624e+07 7.25028e-12
9.7352e+07 5.87518e-12
9.808e+07 4.76089e-12
9.8808e+07 3.85793e-12
9.9536e+07 3.12624e-12
1.00264e+08 2.53331e-12
1.00992e+08 2.05284e-12
1.0172e+08 1.6635e-12
1.02448e+08 1.348e-12
1.03176e+08 1.09233e-12
1.03904e+08 8.85161e-13
1.04632e+08 7.1728e-13
1.0536e+08 5.8124e-13
1.06088e+08 4.71002e-13
1.06816e+08 3.81671e-13
1.07544e+08 3.09283e-13
1.08272e+08 2.50624e-13
1.09e+08 2.0309e-13
1.09728e+08 1.64572e-13
1.10456e+08 1.33359e-13
1.11184e+08 1.08066e-13
1.11912e+08 8.75702e-14
1.1264e+08 7.09616e-14
1.13368e+08 5.75029e-14
1.14096e+08 4.65969e-14
1.14824e+08 3.77593e-14
1.15552e+08 3.05978e-14
1.1628e+08 2.47946e-14
1.17008e+08 2.0092e-14
1.17736e+08 1.62814e-14
1.18464e+08 1.31934e-14
1.19192e+08 1.06911e-14
1.1992e+08 8.66345e-15
1.20648e+08 7.02033e-15
1.21376e+08 5.68885e-15
1.22104e+08 4.6099e-15
