#SUBENT      L0021003
#AUTHORS     A.Veyssiere, H.Beil, R.Bergere, P.Carlos, 
#+           A.Lepretre
#REFERENCE   Nuclear Physics, Section A Vol.159, p.561
#YEAR        1970
#TITLE       Photoneutron cross sections of 208Pb and 197Au.
#REACTION    (79-AU-197(G,N)79-AU-196,,SIG)+(79-AU-197(G,N+P)78-PT-195,,SIG)
#QUANTITY    Cross section
#SUBP       L0021003 
# Energy (eV) Cross section (b)
8.08e+06 0.0053
8.35e+06 0.0223
8.62e+06 0.0294
8.89e+06 0.0399
9.16e+06 0.0496
9.44e+06 0.0537
9.71e+06 0.0736
9.98e+06 0.0944
1.025e+07 0.0941
1.052e+07 0.1117
1.08e+07 0.1487
1.107e+07 0.1741
1.134e+07 0.2045
1.161e+07 0.2636
1.188e+07 0.3126
1.216e+07 0.3556
1.243e+07 0.4135
1.27e+07 0.4644
1.297e+07 0.5064
1.324e+07 0.5249
1.352e+07 0.5292
1.379e+07 0.5268
1.406e+07 0.5094
1.433e+07 0.4961
1.46e+07 0.457
1.488e+07 0.4207
1.542e+07 0.3252
1.569e+07 0.2762
1.596e+07 0.2317
1.624e+07 0.1991
1.651e+07 0.1662
1.678e+07 0.1171
1.705e+07 0.1031
1.732e+07 0.0906
1.76e+07 0.0795
1.787e+07 0.0697
1.814e+07 0.0613
1.841e+07 0.0542
1.868e+07 0.0483
1.896e+07 0.0436
1.923e+07 0.0399
1.95e+07 0.037
1.977e+07 0.035
2e+07 0.0277944
2.072e+07 0.020219
2.144e+07 0.0147083
2.216e+07 0.0106995
2.288e+07 0.00778334
2.36e+07 0.00566198
2.432e+07 0.0041188
2.504e+07 0.00299622
2.576e+07 0.00217959
2.648e+07 0.00158554
2.72e+07 0.0011534
2.792e+07 0.00083904
2.864e+07 0.000610358
2.936e+07 0.000444004
3.008e+07 0.00032299
3.08e+07 0.000234959
3.152e+07 0.00017092
3.224e+07 0.000124336
3.296e+07 9.04479e-05
3.368e+07 6.57962e-05
3.44e+07 4.78634e-05
3.512e+07 3.48181e-05
3.584e+07 2.53284e-05
3.656e+07 1.84251e-05
3.728e+07 1.34033e-05
3.8e+07 9.75023e-06
3.872e+07 7.09279e-06
3.944e+07 5.15964e-06
4.016e+07 3.75337e-06
4.088e+07 2.73039e-06
4.16e+07 1.98622e-06
4.232e+07 1.44487e-06
4.304e+07 1.05107e-06
4.376e+07 7.64598e-07
4.448e+07 5.56206e-07
4.52e+07 4.04611e-07
4.592e+07 2.94334e-07
4.664e+07 2.14113e-07
4.736e+07 1.55756e-07
4.808e+07 1.13305e-07
4.88e+07 8.24232e-08
4.952e+07 5.99586e-08
5.024e+07 4.36168e-08
5.096e+07 3.1729e-08
5.168e+07 2.30812e-08
5.24e+07 1.67904e-08
5.312e+07 1.22142e-08
5.384e+07 8.88517e-09
5.456e+07 6.4635e-09
5.528e+07 4.70187e-09
5.6e+07 3.42037e-09
5.672e+07 2.48814e-09
5.744e+07 1.80999e-09
5.816e+07 1.31668e-09
5.888e+07 9.57816e-10
5.96e+07 6.96762e-10
6.032e+07 5.06858e-10
6.104e+07 3.68713e-10
6.176e+07 2.6822e-10
6.248e+07 1.95116e-10
6.32e+07 1.41937e-10
6.392e+07 1.03252e-10
