#SUBENT      D4322002
#AUTHORS     S.Takacs, A.Hermanne, F.Ditroi, F.Tarkanyi, 
#+           M.Aikawa
#REFERENCE   Nucl. Instrum. Methods in Physics Res., Sect.B Vol.347, p.26
#YEAR        2015
#TITLE       Reexamination of cross sections of the
#+           100Mo(p,2n)99mTc reaction
#REACTION    42-MO-100(P,2N)43-TC-99-M,IND,SIG
#QUANTITY    Independent cross section
#SUBP       D4322002 
#Ene,MeV     dEne,MeV    Sig,mb      dSig,mb
 8.38        0.41        13.3        1.3
 9.21        0.4         72.2        5.1
 9.93        1.33        121.6       14.4
 9.99        0.38        129.6       8.9
 10.72       0.36        169.9       11.5
 11.43       0.35        197.2       13.4
 12.1        0.33        212.2       14.4
 12.51       1.21        214.7       25.4
 12.75       0.32        219.7       14.9
 13          0.31        226.6       15.2
 13.37       0.3         227.7       15.5
 13.61       0.3         228.4       15.5
 13.97       0.29        228.8       15.6
 14.21       0.29        230.7       15.7
 14.56       0.28        230.8       15.7
 14.74       1.1         231.6       27.4
 14.78       0.27        232.8       15.9
 15.13       0.27        231.2       15.7
 15.35       0.26        230         15.7
 15.68       0.25        237.5       16.2
 15.89       0.25        230.2       15.6
 16.73       1           220.1       26
 18.56       0.91        212.6       25.2
 20.26       0.83        163.6       19.4
 21.85       0.75        119.4       14.1
 23.37       0.68        89.7        10.6
 24.8        0.62        77.1        9.1
 26.18       0.57        47.5        5.6
 27.73       0.51        34.8        4.1
 29.42       0.47        36          4.3
 31.04       0.43        35.7        4.2
 32.6        0.39        28.8        3.4
 34.09       0.35        34.2        4
 35.54       0.32        25.4        3
#END
